linha,cod_protheus,descricao,status,http_status,mensagem,created_id
137,OBS004,OBSERVAR PRESENÇA DE VAZAMENTOS DE ÓLEO OU GRAXA,CREATED,201,,d4dcfffbd0074cf9a2e6a50e6
138,OBS005,OBSERVAR RUÍDOS OU VIBRAÇÕES ANORMAIS DURANTE O FUNCIONAMENTO,CREATED,201,,ec268d83a8544c8d8ca6ee184
139,OBS006,OBSERVAR SINAIS DE DESLOCAMENTO OU FOLGA,CREATED,201,,62c05eada0e74379aebb6cac6
140,OBS007,OBSERVAR TRINCAS OU DEFORMAÇÕES ESTRUTURAIS,CREATED,201,,3bbf6d9ede874c668115b733c
141,OBS008,OBSERVAR TRINCAS OU FISSURAS NO REVESTIMENTO,CREATED,201,,fa2bac3d42834c928ff2743ba
142,OBS009,"OBSERVAR TRINCAS, LASCAS OU QUEBRAS",CREATED,201,,9c36d7e6f9a34fcb8d17b3b0c
143,OBS010,"OBSERVAR TRINCAS, QUEBRAS OU FALHAS DE MATERIAL",CREATED,201,,1deb0247e92144ce9fd18487f
144,PAR001,PARTICIPAR DO DDS,CREATED,201,,eb332ed7fabf4d5dba95b76c5
145,REA001,REALIZAR BATIMENTO DAS VALVULAS SOLENOIDES DAS MANGAS MANUAL E AUTOMATICO,CREATED,201,,3b1e67276ca44e4aa9babc052
146,REA002,REALIZAR LIMPEZA DA COLMÉIA DO RADIADOR UTILIZANDO AR COMPRIMIDO,CREATED,201,,f67798aa63814f53a73431a15
147,REA003,REALIZAR LIMPEZA DO FILTRO DE AR DA SALA DOS COMPRESSORES E TROCAR SE NECESSÁRIO,CREATED,201,,8ff0b370758947638ee224973
148,REA004,REALIZAR LIMPEZA DO FILTRO DE AR DO COMPRESSOR,CREATED,201,,7bf6d8f2b8844b19a4cca7b28
149,REA005,REAPERTAR FIXACOES APARAFUSADAS,CREATED,201,,7259b1f6dfd64c6187e26d3af
150,REA006,REAPERTAR FIXACOES PARAFUSADAS,CREATED,201,,a6366acc1eb34c928354afdd1
